author,channel,cid,heart,photo,replies,reply,text,time,time_parsed,votes,text_clean,votes_numeric,sentiment,polarity,subjectivity,datetime
@Talwiinder,UCHUAPEHzyyXrZU3WAHYh9MA,UgwAU-dXPx20hjRx_-R4AaABAg,True,https://yt3.ggpht.com/KWYqU62TE5Ql2-jEqR0Ul4GnixLAh7K_Smrrnvz0uB7f_nXVgwzI1AcXFijBVJpZso_uTFP41gA=s88-c-k-c0x00ffffff-no-rj,340.0,False,"Hoke tetho door mein, khoya apne aap nu 🖤",1 سال پہلے,1722017219.982439,25 ہزار,Hoke tetho door mein khoya apne aap nu 🖤,25,Neutral,0.0,0.0,2024-07-26 18:06:59.982439041
@Heavylofi,UCwDmmDspfkTrcSJqQQM8oTw,Ugz2Cz5TG43Rb7IjaSV4AaABAg,False,https://yt3.ggpht.com/Bp4-KUy9hrnQ_RFpDelNFEeo1Qp9vj-g_hNcbiOHT6FxQ7WpNZLwvoI6CESaR5oNxAgIago5Jg=s88-c-k-c0x00ffffff-no-rj,,False,Vai fan ho gaya❤❤❤❤,14 منٹ پہلے,1753552380.023209,0,Vai fan ho gaya❤❤❤❤,0,Neutral,0.0,0.0,2025-07-26 17:53:00.023209095
@shashankkumar4303,UCXu0PsgCIRVU-HYPujG9Euw,UgzXcB6n4k3pKwKfq1B4AaABAg,False,https://yt3.ggpht.com/ytc/AIdro_n-ipYGNyWfz12ONyTS5rSab8KjOyO2zchxWqeHFrPUeLIIa2HS4OmlreGaAFKDd_6j1g=s88-c-k-c0x00ffffff-no-rj,,False,Hasan×talwinder ap dono ka yeh gaana wishes Daily sunta ho pura yaad hogya h adhey moments bleak up saarey they frantic yeh line tu ratt gyi kbhi koi answer yaad nhi huye lekin yeh line ya yeh hoke thetho door me khoya apne ap nu adha hissa mere dil hoya tere khilaf kyun this line mind-blowing aise h or gaane nikal do maza aata h mere tu yeh ganna Daily viewer ke trah h sunna padhta h 😌,2 گھنٹے پہلے,1753546020.050772,0,Hasan talwinder ap dono ka yeh gaana wishes Daily sunta ho pura yaad hogya h adhey moments bleak up saarey they frantic yeh line tu ratt gyi kbhi koi answer yaad nhi huye lekin yeh line ya yeh hoke thetho door me khoya apne ap nu adha hissa mere dil hoya tere khilaf kyun this line mind blowing aise h or gaane nikal do maza aata h mere tu yeh ganna Daily viewer ke trah h sunna padhta h 😌,0,Negative,-0.4,0.4,2025-07-26 16:07:00.050771952
@joganahar4185,UC7rF_yQpkFGyCOO8SbrnvTA,UgxrIzJbSeli6v77z0V4AaABAg,False,https://yt3.ggpht.com/TqWqFWOrUwSEV7goKtyDLBmJJJPNWYoKCjot5fyRDaYOUKI1yTAxFUSKQPxKQxSA6SXwfXGzkJA=s88-c-k-c0x00ffffff-no-rj,,False,Talwinder X Paradox ❤❤❤❤❤❤q have to collaborate,2 گھنٹے پہلے,1753546020.065809,0,Talwinder X Paradox ❤❤❤❤❤❤q have to collaborate,0,Neutral,0.0,0.0,2025-07-26 16:07:00.065809011
@CHOROK-X,UCXfVETeLQIjIOByex64aUAw,UgxfhLpA0w-YbAYbZj14AaABAg,False,https://yt3.ggpht.com/ukRL7YSUscmVR6uuIpIdTv72iAIOtnrvvHjDHmtAHAT5NzsY6UrAe4FiUHrUA1TZDMwTvdj3=s88-c-k-c0x00ffffff-no-rj,,False,1:53😌😌😌,3 گھنٹے پہلے,1753542420.078041,1,1 53😌😌😌,1,Neutral,0.0,0.0,2025-07-26 15:07:00.078041077
@ketansaxena8192,UCdbnNuHdqWVW5rMnHE8Umeg,UgyEwXshf7T1oq_xFnF4AaABAg,False,https://yt3.ggpht.com/jB1VtMsV8jpC1-nA92NQcbLjmr4u7wVVIcEsDnMOxFbAxGdu8CxsaBH2bK43wP8FWZMK9L1ulCc=s88-c-k-c0x00ffffff-no-rj,,False,25 july 2025,6 گھنٹے پہلے,1753531620.09122,1,25 july 2025,1,Neutral,0.0,0.0,2025-07-26 12:07:00.091219902
@Doraemon67897,UC6DJ_MOQpYyZI9xBECEKpuA,UgxMI_uH9-MuM3UhkTt4AaABAg,False,https://yt3.ggpht.com/OEiTgLO3xM7Vmp_XsAIfvSwmPN3ykBC7MsmLvcgOcNVngf0XfQ7WKOd3h6fS1l4UJdpMGEjh=s88-c-k-c0x00ffffff-no-rj,,False,2024 vibes❤,6 گھنٹے پہلے,1753531620.105992,0,2024 vibes❤,0,Neutral,0.0,0.0,2025-07-26 12:07:00.105992079
@rommitgoyalvlogs22,UC7MZDyb5_UDQ_aSr8BA-TLA,Ugye4o13a26kCa_hZwp4AaABAg,False,https://yt3.ggpht.com/XSzUs3LSRQ3FOPGk5hwNUMmXJ6D8RFqbE8s-hf7CehJrvJI9kFc4EUVyeoi7SDRgQxABKWtPGw=s88-c-k-c0x00ffffff-no-rj,,False,I am listening this on 26 july 2025 ❤,8 گھنٹے پہلے,1753524420.119017,1,I am listening this on 26 july 2025 ❤,1,Neutral,0.0,0.0,2025-07-26 10:07:00.119016886
@syedmuhammadtahir3449,UCmOR3etgMVFs9cigTyNB6oA,UgxYD5LrIDWOa65Xi8p4AaABAg,False,https://yt3.ggpht.com/ytc/AIdro_n-ipYGNyWfz12ONyTS5rSab8KjOyO2zchxWqeHFrPUeLIIa2HS4OmlreGaAFKDd_6j1g=s88-c-k-c0x00ffffff-no-rj,,False,"That ""chuun chuun"" sound in bgm is so annoying, otherwise good song with couple of gibberish lyrics.",9 گھنٹے پہلے,1753520820.134016,0,That chuun chuun sound in bgm is so annoying otherwise good song with couple of gibberish lyrics,0,Neutral,0.09999999999999998,0.6333333333333334,2025-07-26 09:07:00.134016037
@NihalSaifi-u6v,UCZC9B37VOa0CFCpDRnu9Sig,UgzGLo5213V-hBNIsMx4AaABAg,False,https://yt3.ggpht.com/ytc/AIdro_kL7daW0mm9R_yCcc_-7ACB2lV35Z9XJTxD7SZFJYjPcFkWqZ4sFO5qPsN-v2vqL0FIzQ=s88-c-k-c0x00ffffff-no-rj,,False,💀,10 گھنٹے پہلے,1753517220.147571,0,💀,0,Neutral,0.0,0.0,2025-07-26 08:07:00.147571087
